File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M2	.	71.65	22.69	203.55	.	259.46	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	All	.	100.00	31.67	71.45	.	73.65	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M1	.	6.56	2.08	6.55	.	6.98	
.	B6.SP-B220/CD54	.	.	.	.	.	.	.	tube #9	.	M2	.	93.19	29.51	85.10	.	79.15	
Data.0405.010	B6.SP-B220/B7.2	05-Apr-06	No Gate	32987	32987	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #10	Krishna-1	R1	10002	30.32	.	482.20	220.46	.	
Data.0405.010	B6.SP-B220/B7.2	05-Apr-06	G1	10002	32987	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	UL	1298	12.98	.	4.00	60.66	.	
Data.0405.010	B6.SP-B220/B7.2	05-Apr-06	G1	10002	32987	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	UR	1261	12.61	.	161.08	37.82	.	
Data.0405.010	B6.SP-B220/B7.2	05-Apr-06	G1	10002	32987	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	LL	1476	14.76	.	3.85	6.45	.	
Data.0405.010	B6.SP-B220/B7.2	05-Apr-06	G1	10002	32987	FL1-H B220-FITC (Log)	FL2-H B7.2-PE (Log)	12, 20	tube #10	Krishna-1	LR	5967	59.66	.	202.58	5.06	.	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	All	.	100.00	30.32	65.90	.	192.82	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M1	.	28.41	8.62	4.03	.	4.07	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M2	.	71.48	21.67	200.57	.	259.46	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	All	.	100.00	30.32	9.33	.	8.43	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M1	.	64.50	19.56	5.19	.	5.67	
.	B6.SP-B220/B7.2	.	.	.	.	.	.	.	tube #10	.	M2	.	31.22	9.47	40.13	.	33.38	
Data.0405.011	B6.SP-CD3/CXCR4	05-Apr-06	No Gate	24935	24935	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #11	Krishna-1	R1	9985	40.04	.	468.77	220.31	.	
Data.0405.011	B6.SP-CD3/CXCR4	05-Apr-06	G1	9985	24935	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1	UL	167	1.67	.	5.13	35.48	.	
Data.0405.011	B6.SP-CD3/CXCR4	05-Apr-06	G1	9985	24935	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1	UR	112	1.12	.	30.82	45.14	.	
