HANDLE: 00030398 CLASSNAME: OleDdeWndClass
HANDLE: 0004035C CLASSNAME: ComboLBox
HANDLE: 001303F4 CLASSNAME: DDEMLEvent
HANDLE: 00090378 CLASSNAME: DDEMLMom
HANDLE: 00060484 CLASSNAME: rctrl_renwnd32
HANDLE: 001003F8 CLASSNAME: tooltips_class32
HANDLE: 001703E2 CLASSNAME: REListBox20W
HANDLE: 00080992 CLASSNAME: CMSGManager
HANDLE: 000308CE CLASSNAME: MSBLGeneric
HANDLE: 000408D0 CLASSNAME: MSBLGeneric
HANDLE: 00600828 CLASSNAME: CTrayIconWndClass
HANDLE: 0001088A CLASSNAME: Internet Explorer_Hidden
HANDLE: 00070678 CLASSNAME: Internet Explorer_Hidden
HANDLE: 002F056E CLASSNAME: OleDdeWndClass
HANDLE: 000A0636 CLASSNAME: ComboLBox
HANDLE: 002105F4 CLASSNAME: DDEMLEvent
HANDLE: 006505BE CLASSNAME: DDEMLMom
HANDLE: 0059060C CLASSNAME: TWGIPCWindow
HANDLE: 00F1028E CLASSNAME: TCPIPNotify
HANDLE: 000B059E CLASSNAME: _sdm_Mso96
HANDLE: 00040488 CLASSNAME: #43
HANDLE: 00060408 CLASSNAME: Internet Explorer_Hidden
HANDLE: 000504A8 CLASSNAME: File Open Message Window
HANDLE: 000D03A8 CLASSNAME: ThunderRT6Main
HANDLE: 0004040A CLASSNAME: tooltips_class32
HANDLE: 00050416 CLASSNAME: OutlookAcctMgrNotificationWindow
HANDLE: 017902C6 CLASSNAME: WMS ST Notif Class
HANDLE: 000B03A6 CLASSNAME: WMS Idle
HANDLE: 006602E6 CLASSNAME: OleDdeWndClass
HANDLE: 001103B2 CLASSNAME: WMS Notif Engine:Dispatch Window Class
HANDLE: 000D038E CLASSNAME: MsoStdCompMgr
HANDLE: 001E01E4 CLASSNAME: mspim_wnd32
HANDLE: 007B034A CLASSNAME: ToolbarWindow32
HANDLE: 000401DE CLASSNAME: #43
HANDLE: 000601C4 CLASSNAME: Internet Explorer_Hidden
HANDLE: 01290270 CLASSNAME: OleDdeWndClass
HANDLE: 00040204 CLASSNAME: ComboLBox
HANDLE: 000801E2 CLASSNAME: DDEMLEvent
HANDLE: 00730108 CLASSNAME: DDEMLMom
HANDLE: 000100DA CLASSNAME: SystemTray_Main
HANDLE: 000302F6 CLASSNAME: ToolbarWindow32
HANDLE: 000202E2 CLASSNAME: #43
HANDLE: 000102DC CLASSNAME: Inet Notify_Hidden
HANDLE: 000202C4 CLASSNAME: OleDdeWndClass
HANDLE: 000402A0 CLASSNAME: ComboLBox
HANDLE: 00030272 CLASSNAME: TPUtilWindow
HANDLE: 00030246 CLASSNAME: TPUtilWindow
HANDLE: 0002026C CLASSNAME: TPUtilWindow
HANDLE: 0002026E CLASSNAME: TPUtilWindow
HANDLE: 000201FA CLASSNAME: TPUtilWindow
HANDLE: 000201FC CLASSNAME: TPUtilWindow
HANDLE: 000201FE CLASSNAME: TPUtilWindow
HANDLE: 00020200 CLASSNAME: TPUtilWindow
HANDLE: 00020202 CLASSNAME: TPUtilWindow
HANDLE: 00020210 CLASSNAME: TPUtilWindow
HANDLE: 00020212 CLASSNAME: TPUtilWindow
HANDLE: 00020214 CLASSNAME: DDEMLEvent
HANDLE: 00020216 CLASSNAME: DDEMLMom
HANDLE: 000101EC CLASSNAME: QCTrayWndClass
HANDLE: 000201A6 CLASSNAME: TWGIPCWindow
HANDLE: 00020156 CLASSNAME: TWGProcessWindow
HANDLE: 000201AE CLASSNAME: twgtopo
HANDLE: 000101AA CLASSNAME: Afx:400000:0
HANDLE: 0001015E CLASSNAME: Afx:400000:0
HANDLE: 00010136 CLASSNAME: #32770
HANDLE: 00010152 CLASSNAME: MSBLUIManager
HANDLE: 00010134 CLASSNAME: CSessionMonitor::Window
HANDLE: 00010132 CLASSNAME: CActivityMonitor::Window
HANDLE: 00010130 CLASSNAME: MSGSBlObj
HANDLE: 0003012C CLASSNAME: OleDdeWndClass
HANDLE: 0001012E CLASSNAME: AcrobatTrayIcon
HANDLE: 00010128 CLASSNAME: TWG_MonBase
HANDLE: 00030122 CLASSNAME: QTIdle: f90
HANDLE: 0001011E CLASSNAME: QCTrayWanWndClass
HANDLE: 00010118 CLASSNAME: RunDLL
HANDLE: 0001010E CLASSNAME: TuiTrayIconClass
HANDLE: 0001010C CLASSNAME: __TgCommander__
HANDLE: 00010102 CLASSNAME: TWGIPCWindow
HANDLE: 000200FE CLASSNAME: TWGProcessWindow
HANDLE: 000300FA CLASSNAME: QTPlayer Tray Icon
HANDLE: 00010100 CLASSNAME: TWGIPCWindow
HANDLE: 000200FC CLASSNAME: TWGProcessWindow
HANDLE: 000600F2 CLASSNAME: twgescli
HANDLE: 000100F6 CLASSNAME: S3tray
HANDLE: 000100F4 CLASSNAME: AGRSMMsg
HANDLE: 000200EC CLASSNAME: Connections Tray
HANDLE: 000100EA CLASSNAME: TpHotkeyManager
HANDLE: 000100E4 CLASSNAME: LiteObjectWindow
HANDLE: 000100D6 CLASSNAME: TWGIPCWindow
HANDLE: 000100D4 CLASSNAME: TWGIPCWindow
HANDLE: 000100D2 CLASSNAME: TWGProcessWindow
HANDLE: 000100D0 CLASSNAME: TWGIPCNetworkIPC
HANDLE: 000100CE CLASSNAME: MS_WebcheckMonitor
HANDLE: 00010096 CLASSNAME: WorkerW
HANDLE: 0001007A CLASSNAME: WorkerW
HANDLE: 00010070 CLASSNAME: DDEMLEvent
HANDLE: 0001006E CLASSNAME: DDEMLMom
HANDLE: 0006005A CLASSNAME: IrmonClass
HANDLE: 0006003C CLASSNAME: NMS_DeviceMsgWnd
HANDLE: 0003003E CLASSNAME: TbSSvcHlpWnd
HANDLE: 0003003A CLASSNAME: __RepairService__
HANDLE: 00070036 CLASSNAME: PN Single Sign-on
HANDLE: 00030060 CLASSNAME: SSONIPCWINDOWCLASS
HANDLE: 00020114 CLASSNAME: AfxWnd42
HANDLE: 00010120 CLASSNAME: QCWLStatusIconWndClass
HANDLE: 000F0390 CLASSNAME: GDI+ Hook Window Class
HANDLE: 002005A2 CLASSNAME: rctrl_renwnd32
HANDLE: 00040876 CLASSNAME: GDI+ Hook Window Class
HANDLE: 0016037A CLASSNAME: rctrl_renwnd32
HANDLE: 000B046E CLASSNAME: tooltips_class32
HANDLE: 0004044C CLASSNAME: tooltips_class32
HANDLE: 0003049E CLASSNAME: tooltips_class32
HANDLE: 0005045C CLASSNAME: WorkerW
HANDLE: 000D0434 CLASSNAME: ExploreWClass
HANDLE: 00250B4E CLASSNAME: SysFader
HANDLE: 00AE0A4E CLASSNAME: MDDE_WINDOW
HANDLE: 000100B2 CLASSNAME: tooltips_class32
HANDLE: 000A06EC CLASSNAME: SysFader
HANDLE: 000100AA CLASSNAME: Progman
